"40.574355338,-76.019708008"
"39.651498797,-77.543071601"
"40.022741047,-77.373451596"
"35.562651794,-83.500016794"
"36.206063464,-81.97783723"
"36.219506906,-81.984481984"
"36.222039483,-82.004105102"
"36.204809955,-81.976955888"
"36.204128479,-81.981766269"
"36.207252441,-81.978976617"
"36.207252441,-81.978976617"
"36.207253993,-81.978977022"
"35.728661439,-83.182215959"
"40.589769766,-75.944329854"
"40.607304181,-75.963777994"
"40.297953598,-77.087440863"
"40.313634804,-77.083077402"
"40.310271688,-77.08356614"
"40.566743324,-76.043793939"
"40.567053854,-76.043383472"
"40.589533687,-75.94007256"
"40.612765616,-75.91281938"
"40.623320162,-75.958710554"
"40.625551783,-75.958616101"
"40.607343638,-75.939618154"
"40.147170181,-77.123696192"
"40.150168785,-77.126689392"
"40.150870289,-77.122997383"
"40.148160403,-77.125356137"
"40.146792807,-77.122055873"
"40.15885918,-77.119522367"
"40.173764121,-77.120383553"
"40.17708793,-77.118816301"
"40.180093335,-77.114546791"
"40.179583859,-77.115222404"
"40.18494976,-77.109574121"
"40.190357874,-77.107214059"
"40.190635858,-77.106879384"
"40.194230015,-77.106823596"
"40.212619201,-77.107411637"
"40.20677356,-77.113147801"
"40.206851812,-77.112877038"
"40.210884141,-77.111187516"
"40.214206799,-77.104925209"
"40.21645385,-77.105430796"
"40.217219612,-77.105718983"
"40.218256574,-77.106365397"
"40.218472088,-77.106453155"
"40.219513856,-77.105780776"
"40.219736904,-77.105441378"
"40.225447936,-77.104764076"
"40.225447936,-77.104764076"
"40.196997572,-77.108311882"
"40.194230015,-77.106823596"
"40.173486007,-77.120434872"
"40.165191088,-77.120298008"
"40.15885918,-77.119522367"
"40.155372723,-77.11922754"
"40.150870289,-77.122997383"
"40.147854343,-77.124684348"
"40.219736904,-77.105441378"
"40.227667552,-77.106554438"
"40.233046662,-77.108883973"
"34.723727573,-83.969184624"
"34.742085124,-83.941272425"
"34.735636785,-83.930207931"
"34.677536035,-83.999961223"
"34.68731588,-83.993965589"
"34.726481808,-83.964924268"
"35.698125358,-83.255278248"
"35.693612131,-83.2572103"
"35.72588955,-83.219662592"
"35.769245194,-83.122370873"
"36.011775059,-82.454778356"
"36.01181973,-82.454536979"
"36.011802722,-82.455938478"
"36.010597431,-82.45648877"
"36.006838471,-82.463031933"
"35.96892362,-82.540047155"
"35.991685547,-82.487303115"
"35.999912973,-82.474410297"
"36.011828985,-82.454265594"
"36.013728249,-82.448424375"
"36.015002628,-82.446771424"
"36.015640372,-82.4450377"
"36.016549157,-82.443137144"
"36.016675262,-82.442708625"
"36.017614645,-82.440590726"
"36.012909502,-82.449243254"
"36.01407203,-82.44828104"
"36.015114603,-82.445996545"
"36.016246387,-82.44420112"
"36.017173914,-82.44178559"
"36.017806784,-82.438167431"
"36.017806784,-82.438167431"
"35.974712271,-82.520751448"
"36.029443469,-82.422989848"
"35.953728817,-82.560409097"
"35.972168251,-82.529847277"
"35.995477131,-82.483551939"
"35.991538733,-82.487601192"
